2025-12-18 13:08:38 | INFO     | DF | Loaded sample with shape torch.Size([1, 480000])
2025-12-18 13:08:38 | INFO     | DF | Start denoising audio
2025-12-18 13:08:38 | INFO     | DF | Denoising finished
2025-12-18 13:08:38 | INFO     | DF | saved audios: /var/folders/80/yfn_3rfx50g_h50gwsyjj16c0000gn/T/tmprm1gyqltnoisy.wav, /var/folders/80/yfn_3rfx50g_h50gwsyjj16c0000gn/T/tmpqukcw2m8enhanced.wav
2025-12-18 13:08:38 | INFO     | DF | Filter: ['/private/var/folders/80/yfn_3rfx50g_h50gwsyjj16c0000gn/T/gradio/8a29f7909ed8e573b2b22e9044032c434f891dab28fbad1b1f3540f1ab4c1813/audio.wav', '/var/folders/80/yfn_3rfx50g_h50gwsyjj16c0000gn/T/tmprm1gyqltnoisy.wav', '/var/folders/80/yfn_3rfx50g_h50gwsyjj16c0000gn/T/tmpqukcw2m8enhanced.wav', '/private/var/folders/80/yfn_3rfx50g_h50gwsyjj16c0000gn/T/gradio/8a29f7909ed8e573b2b22e9044032c434f891dab28fbad1b1f3540f1ab4c1813/audio.wav', 'p232']
2025-12-18 08:40:59 | INFO     | DF | Running on torch 2.9.1
2025-12-18 08:40:59 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
2025-12-18 08:40:59 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 08:40:59 | INFO     | DF | Initializing model `deepfilternet2`
2025-12-18 08:40:59 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 08:40:59 | INFO     | DF | Running on device cpu
2025-12-18 08:40:59 | INFO     | DF | Model loaded
2025-12-18 08:41:15 | INFO     | DF | Running on torch 2.9.1
2025-12-18 08:41:15 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
2025-12-18 08:41:15 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 08:41:15 | INFO     | DF | Initializing model `deepfilternet2`
2025-12-18 08:41:15 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 08:41:15 | INFO     | DF | Running on device cpu
2025-12-18 08:41:15 | INFO     | DF | Model loaded
2025-12-18 08:45:59 | INFO     | DF | Running on torch 2.9.1
2025-12-18 08:45:59 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
2025-12-18 08:45:59 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 08:45:59 | INFO     | DF | Initializing model `deepfilternet2`
